,module,gene,num positive,num negative,avg positive,avg negative
0,1,A1BG,13,0,0.1571892311078734,0.0
1,1,ACR,13,0,0.18789501641129736,0.0
2,1,ANHX,13,0,0.1713749841627658,0.0
3,1,MZF1,13,0,0.16227054630167748,0.0
4,1,PGBD2,12,1,0.1847018415290855,-0.0060386221215911655
5,1,RABL2B,13,0,0.1741055553308408,0.0
6,1,SLC27A5,13,0,0.16040810180022233,0.0
7,1,ZBTB45,13,0,0.1662961568987127,0.0
8,1,ZNF132,13,0,0.21086504165141276,0.0
9,1,ZNF324,13,0,0.20379653960085609,0.0
10,1,ZNF324B,13,0,0.20239831980636222,0.0
11,1,ZNF497,12,1,0.16395269096213366,-0.0060386221215911655
12,1,ZNF891,13,0,0.15593059845799143,0.0
13,1,ZSCAN22,13,0,0.13817147187171644,0.0
14,2,A1CF,43,3,0.10749452056697013,-0.020080564500927944
15,2,AGAP5,43,3,0.12397751264155424,-0.01605083103398257
16,2,AGAP6,39,7,0.10746333207215795,-0.03805470886957827
17,2,AGAP9,40,6,0.08900164665589604,-0.034197945214697476
18,2,ANK3,38,8,0.08450979247099882,-0.0315568088018354
19,2,ANXA8L1,41,5,0.10997315838240017,-0.023017445997857454
20,2,CALHM3,43,3,0.10242407101869415,-0.012060467375913575
21,2,CFAP70,42,4,0.07947160795341583,-0.03696733379868649
22,2,COMTD1,43,3,0.08402306233584927,-0.04602538667069645
23,2,CXCL12,33,13,0.07454831686281282,-0.030975655209159538
24,2,CYP2C19,38,8,0.0741441247357101,-0.022843386400131463
25,2,CYP2C8,39,7,0.06274440525511238,-0.028360564658103854
26,2,CYP2C9,43,3,0.09528582949402047,-0.05140912285778274
27,2,DKK1,33,13,0.06023615592298473,-0.03603001506948264
28,2,DUPD1,46,0,0.09670293048054299,0.0
29,2,DUSP13,44,2,0.09033477409674016,-0.050635867790259574
30,2,FAM25A,32,14,0.0885649807764554,-0.05011802239049555
31,2,GDF2,37,9,0.06716327504481866,-0.027089841857564467
32,2,GPRIN2,45,1,0.12304482711836945,-0.03132173106546147
33,2,HKDC1,46,0,0.08514636951153329,0.0
34,2,IFIT1,45,1,0.11625239511475086,-0.019696444742460184
35,2,IFIT1B,44,2,0.1287852300681282,-0.009020757257633528
36,2,IFIT2,43,3,0.09311677923897703,-0.01837465924863863
37,2,IFIT5,43,3,0.09384958327777833,-0.049855970623622896
38,2,LIPA,44,2,0.1171196850003911,-0.012650947880192975
39,2,LIPJ,44,2,0.10737522946219698,-0.04251522939395308
40,2,LRRC18,44,2,0.08805490353684976,-0.028674847811785722
41,2,NUTM2A,46,0,0.15189201215647125,0.0
42,2,NUTM2B,46,0,0.12198690362975624,0.0
43,2,PTPN20,46,0,0.1380332473115948,0.0
44,2,RET,40,6,0.07429909825211074,-0.01946554280982694
45,2,SAMD8,42,4,0.07936058241359835,-0.014849312732018418
46,2,SFTPA1,43,3,0.13914065225916392,-0.04664654350990605
47,2,SFTPA2,45,1,0.1480587443891798,-0.04568754436782828
48,2,SHLD2,38,8,0.08101923381603937,-0.024939170490052127
49,2,SORCS1,40,6,0.06257056775411529,-0.05583422859405766
50,2,SYNPO2L,41,5,0.09626460394289638,-0.02810129970727182
51,2,SYT15,43,3,0.12408751672157992,-0.018367398153956837
52,2,TMEM72,40,6,0.0602996457483953,-0.021790739585025563
53,2,UNC5B,43,3,0.07926920444492094,-0.034190718137817426
54,2,WASHC2C,42,4,0.11005191639330235,-0.017224688994258937
55,2,ZNF22,43,3,0.10025296715582359,-0.023228413184956904
56,2,ZNF239,45,1,0.15704898519372212,-0.007869494851982968
57,2,ZNF32,43,3,0.09986488549982041,-0.035575249343583956
58,2,ZNF33B,46,0,0.13419837275589924,0.0
59,2,ZNF37A,43,3,0.09803085627831339,-0.01597472912668069
60,2,ZNF485,42,4,0.10045415215235533,-0.03349379801018767
61,3,A2M,14,0,0.10435143307525703,0.0
62,3,CLEC12B,14,0,0.11732605229851219,0.0
63,3,CLEC2B,14,0,0.13393566736782622,0.0
64,3,CLEC4D,13,1,0.13796506534092387,-0.029917328569527325
65,3,CLEC6A,14,0,0.14785208272708866,0.0
66,3,GALNT8,14,0,0.1351964799804714,0.0
67,3,GYS2,14,0,0.1077297112062457,0.0
68,3,KCNA6,14,0,0.10720567360949572,0.0
69,3,KLRC1,14,0,0.12628064649140866,0.0
70,3,PKP2,14,0,0.12450303302065022,0.0
71,3,SLCO1B1,14,0,0.1169219253439487,0.0
72,3,SLCO1B3,13,1,0.13902532312023233,-0.029917328569527325
73,3,SLCO1B7,14,0,0.08159700889499932,0.0
74,3,SLCO1C1,14,0,0.1158840789740687,0.0
75,3,TAS2R20,14,0,0.1382444423654027,0.0
76,4,CTU2,8,0,0.2335798227416443,0.0
77,4,DUS2,8,0,0.11960818971674922,0.0
78,4,METTL1,8,0,0.19618157124920133,0.0
79,4,NR2C2AP,8,0,0.21056592474224822,0.0
80,4,NSUN2,8,0,0.11531977193026946,0.0
